ordering,ppmRepPotus,ppmDemPotus,1M-ppmDemPotus,ppmRepOther,ppmDemOther,1M-ppmDemOther,BonusToTrump,BonusToBiden,totalBallots,locality
    675, 453804, 538043, 461957, 402626, 586730, 413270, 755890, 256565,   4416,Terrell
  19865, 627759, 361754, 638246, 577262, 407284, 592716, 752485, 272350,   3624,Marion
  23810, 524773, 469828, 530172, 469250, 509543, 490457, 777615, 301425,   5187,Early
  25275, 791208, 203076, 796924, 736263, 243076, 756924, 774725, 300000,   2275,Schley
  88895, 471769, 520000, 480000, 428395, 558847, 441153, 716870, 305765,  12150,Sumter
 116380, 672245, 322863, 677137, 623069, 350411, 649589, 745880, 362260,   3884,Seminole
 126660, 718379, 272705, 727295, 678173, 307167, 692833, 701030, 327690,  16714,Lee
 133180, 581233, 411112, 588888, 537799, 441042, 558958, 717170, 350350,  11627,Decatur
 147430, 656953, 338003, 661997, 615205, 366769, 633231, 708740, 356170,  10707,Grady
 154215, 725663, 264667, 735333, 682563, 290724, 709276, 715500, 369715,   6102,Crawford
 169190, 629851, 361292, 638708, 588955, 386558, 613442, 704480, 373670,   3839,Taylor
 190620, 525943, 465529, 534471, 484287, 485749, 514251, 708280, 398900,   4105,Dooly
 237330, 296055, 696015, 303985, 267621, 720115, 279885, 642170, 379500,  35311,Dougherty
 238790, 395229, 600227, 399773, 361726, 618966, 381034, 667515, 406305,   3522,Talbot
 255475, 382453, 612827, 387173, 346203, 625482, 374518, 681250, 436725,   4662,Macon
 271740, 620350, 371439, 628561, 595969, 392710, 607290, 621905, 393645,   8039,Crisp
 296515, 802388, 184477, 815523, 763482, 186268, 813732, 694530, 491045,  10050,Chattooga
 312275, 518294, 471901, 528099, 491829, 482981, 517019, 632325, 444600,  12545,Peach
 338760, 807431, 182415, 817585, 774268, 181500, 818500, 665815, 504575,  24033,Gordon
 367675, 902530,  90240, 909760, 871288,  85463, 914537, 656210, 523885,   7746,Brantley
 382385, 841055, 149587, 850413, 813958, 146013, 853987, 635485, 517870,  15389,Murray
 384770, 813550, 178132, 821868, 784785, 172413, 827587, 643825, 528595,   5771,JeffDavis
 399415, 368337, 619549, 380451, 355442, 626771, 373229, 564475, 463890,  69097,Douglas
 -40550, 550596, 445721, 554279, 490907, 494142, 505858, 798445, 257895,   8963,Mitchell
 409880, 815980, 169626, 830374, 792709, 164379, 835621, 616355, 526235,   7434,Dade
 410165, 865454, 125772, 874228, 845802, 124087, 875913, 598260, 508425,  14248,Haralson
 433090, 291187, 699189, 300811, 277089, 698473, 301527, 570490, 503580,  44686,Rockdale
 433820, 140755, 849854, 150146, 128435, 850770, 149230, 561600, 495420, 112344,Clayton
 438855, 782400, 213283, 786717, 759501, 202613, 797387, 614495, 553350,   8341,Appling
 440635, 440070, 549309, 450691, 427404, 548516, 451484, 563330, 503965,  54239,Newton
 442305, 651973, 343180, 656820, 623817, 326563, 673437, 640780, 583085,   4333,Telfair
 446250, 697654, 290371, 709629, 672590, 276057, 723943, 625320, 571570,  36746,Whitfield
 451720, 781021, 210241, 789759, 761767, 200643, 799357, 596270, 547990,  17399,Polk
 454140, 699265, 288321, 711679, 672565, 270793, 729207, 633500, 587640,  41648,Floyd
 454555, 885694, 105897, 894103, 872741, 102033, 897967, 564765, 519320,   8801,Banks
 459285, 789466, 196531, 803469, 773795, 189003, 810997, 578355, 537640,  29354,Walker
 460365, 860754, 133890, 866110, 837617, 118680, 881320, 615685, 576050,   4668,Bacon
 471815, 873010, 121573, 878427, 858532, 112732, 887268, 572390, 544205,   9048,Pierce
 473740, 373080, 614938, 385062, 366971, 614081, 385919, 530545, 504285,  80543,Muscogee
 477755, 772159, 212683, 787317, 759856, 204829, 795171, 561515, 539270,  32593,Catoosa
 479320, 800100, 194259, 805741, 785186, 183481, 816519, 574570, 553890,   7979,Towns
 488215, 819461, 173131, 826869, 805387, 161414, 838586, 570370, 558585,  14850,Fannin
 496065, 812647, 177428, 822572, 801028, 166596, 833404, 558095, 554160,  16525,Gilmer
 500000, 692778, 301531, 698469, 677899, 286652, 713348, 574395, 574395,   2285,Wheeler
 501645, 695280, 296503, 703497, 677993, 278887, 721113, 586435, 588080,  15214,Coffee
 505140, 813046, 180012, 819988, 803920, 169858, 830142, 545630, 550770,  15560,Union
 512055, 837692, 152847, 847153, 824336, 137080, 862920, 566780, 578835,   5391,Heard
 513485, 392587, 596992, 403008, 389475, 591183, 408817, 515560, 529045, 122742,Henry
 514905, 822329, 164057, 835943, 815903, 154650, 845350, 532130, 547035,  17116,Pickens
 514975, 375483, 613937, 386063, 371910, 607369, 392631, 517865, 532840,  70802,Bibb
 524100, 758251, 228359, 771641, 754100, 219388, 780612, 520755, 544855,  14937,Madison
 525945, 814261, 174383, 825617, 808976, 163909, 836091, 526425, 552370,  20432,Habersham
 532285, 714127, 278141, 721859, 706821, 264378, 735622, 536530, 568815,  11771,Butts
 533580, 829006, 163889, 836111, 819966, 148133, 851867, 545200, 578780,   7743,Berrien
 534045, 781577, 210283, 789717, 777664, 199561, 800439, 519565, 553610,  12778,Wayne
 534865, 729001, 261489, 738511, 697622, 223137, 776863, 656895, 691760,   3155,Atkinson
 539115, 492969, 500052, 499948, 479754, 479014, 520986, 566075, 605190,   9459,Washington
 540170, 695109, 296716, 703284, 689332, 282905, 717095, 528885, 569055,  14192,Ware
 541625, 533303, 459945, 540055, 519576, 437893, 562107, 568635, 610260,   4444,Twiggs
 546645, 643828, 336330, 663670, 642519, 325692, 674308, 506545, 553190,  23688,Camden
 552305, 824919, 162729, 837271, 825998, 153347, 846653, 494605, 546910,  14816,White
 556435, 851399, 140391, 859609, 850000, 127705, 872295, 506995, 563430,  10720,Pike
 559575, 781145, 207357, 792643, 779473, 193770, 806230, 508360, 567935,   9568,Rabun
 562420, 748795, 241568, 758432, 735654, 215943, 784057, 565705, 628125,   4566,Charlton
 563430, 833157, 154592, 845408, 834898, 143647, 856353, 491295, 554725,  16081,Dawson
 563740, 783143, 201274, 798726, 785203, 190586, 809414, 489700, 553440,  15531,Lumpkin
 564000, 732398, 262724, 737276, 726302, 243828, 756172, 530480, 594480,   3281,Wilcox
 568875, 687861, 299594, 700406, 687123, 285081, 714919, 503690, 572565,   8131,Oglethorpe
 568995, 788220, 200673, 799327, 785191, 183845, 816155, 515145, 584140,  11885,Stephens
 570600, 842452, 147979, 852021, 845146, 136553, 863447, 486530, 557130,  10765,Franklin
 570640, 761643, 230376, 769624, 760727, 215332, 784668, 504580, 575220,   7644,Jasper
 571090, 638578, 347883, 652117, 638613, 333700, 666300, 499825, 570915,  85385,Paulding
 574255, 743615, 248055, 751945, 739137, 228726, 771274, 522390, 596645,  12727,Hart
 577990, 758499, 229758, 770242, 761829, 217490, 782510, 483350, 561340,   5706,Bleckley
 578170, 746343, 246848, 753152, 741805, 226676, 773324, 522690, 600860,   3966,Montgomery
 582925, 695121, 298048, 701952, 683170, 269512, 730488, 559755, 642680,   4100,Johnson
 589250, 683655, 308602, 691398, 681935, 289032, 710968, 508600, 597850,   4650,Lincoln
 589380, 682807, 309392, 690608, 671758, 280467, 719533, 555245, 644625,   3077,Treutlen
 589400, 706837, 275652, 724348, 711083, 262018, 737982, 478770, 568170,  37921,Barrow
 589925, 735595, 257942, 742058, 735056, 239418, 760582, 502695, 592620,   9285,Worth
 590525, 783036, 202867, 797133, 788531, 190257, 809743, 472525, 563050,  37670,Jackson
 591040, 739704, 251863, 748137, 735671, 229622, 770378, 520165, 611205,   8183,Tattnall
 591170, 751919, 241842, 758158, 754558, 226247, 773753, 486805, 577975,   4168,Irwin
 591350, 746507, 239602, 760398, 753442, 228267, 771733, 465325, 556675,  50467,Bartow
 593915, 721275, 269287, 730713, 721641, 250870, 749130, 498170, 592085,  10914,Toombs
 593955, 709338, 281169, 718831, 711005, 264045, 735955, 491665, 585620,  15592,Monroe
 596390, 740620, 248204, 751796, 746785, 235091, 764909, 469175, 565565,  51095,Walton
 598335, 637643, 355185, 644815, 638611, 336486, 663514, 495160, 593495,  22729,Laurens
 600315, 678879, 313924, 686076, 678006, 292988, 707012, 504365, 604680,   9171,Elbert
 608735, 623762, 359441, 640559, 628359, 342291, 657709, 477015, 585750,   5656,Long
 609155, 600000, 392957, 607043, 595352, 366478, 633522, 523240, 632395,   7100,Brooks
 611885, 462836, 531405, 468595, 455509, 501701, 498299, 536635, 648520,   7642,Jefferson
 612290, 700298, 289301, 710699, 704170, 270715, 729285, 480640, 592930,   9039,Lamar
 614550, 157422, 831239, 168761, 164243, 815150, 184850, 465895, 580445, 370804,DeKalb
 616355, 558490, 435010, 564990, 555765, 409014, 590986, 513625, 629980,   4770,Wilkinson
 616485, 724039, 269021, 730979, 721809, 243494, 756506, 511150, 627635,   8070,Dodge
 617265, 665842, 326606, 673394, 670252, 307563, 692437, 477950, 595215,  14966,Jones
 617980, 696517, 292679, 707321, 698933, 271499, 728501, 487920, 605900,   7035,Cook
 618485, 707063, 286391, 713609, 709546, 265177, 734823, 487585, 606070,   4431,Candler
 622430, 590052, 398660, 601340, 597130, 381252, 618748, 464610, 587040,  10455,McDuffie
 628145, 708880, 276515, 723485, 716679, 258685, 741315, 461005, 589150,  90523,Hall
 628250, 599797, 394134, 605866, 599705, 368392, 631608, 500460, 628710,  10877,Meriwether
